2542674357061,3229421908786
1047095110514,2703124715302
2241080680361,339282920484
2877082899121,213437588357
2962454333590,1146622182354
8667422468,2914668005810
3283797690288,5668747940970
92336276716,2578935770315
280618016374,4820189175032
1209866491592,146344916624
2253881281576,2448560213475
1161992879414,1674301627359
4818900557459,4874289912091
1794902833332,3885572444087
3082175285512,235300300457
1157352410430,3391910550439
1975682514838,4412581570619
940190944451,4668208507929
4892987552563,3969703431560
861276404486,4681646838677
5308919438905,740205209430
4882067017820,5684832423565
832490479211,3882413987731
2768698738377,2559643212287
4799150729489,2715004149410
2400910224808,2411154824523
871309115691,312836731476
32734373338,5274112237786
2427518930772,3618374377486
3075900055786,2047586052701
5395051057487,427396164824
663270611761,2916443609523
